City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
347,Bata,1.8639,9.7658,78.66,94,40,10.36,GQ
348,Gold Coast,-28.0,153.4333,88.25,59,90,14.97,AU
349,Mezen,65.8522,44.24,10.4,93,100,5.21,RU
350,Juneau,58.3019,-134.4197,42.8,90,100,14.97,US
351,Nouadhibou,20.931,-17.0347,66.18,88,0,9.22,MR
352,Solnechnyy,50.7214,136.6319,16.59,60,19,4.88,RU
353,Port Macquarie,-31.4333,152.9167,81.9,64,19,9.42,AU
354,Vestmanna,62.1564,-7.1664,40.12,81,75,3.44,FO
355,Qingquan,30.4511,115.2559,47.71,80,100,6.35,CN
356,Road Town,18.4167,-64.6167,77.09,69,20,8.05,VG
357,Imperia,43.9667,7.7833,52.18,97,58,4.81,IT
358,Dargaville,-35.9333,173.8833,67.73,56,91,6.53,NZ
359,Miramar,25.9873,-80.2323,75.22,69,0,10.36,US
360,Bowen,-20.0167,148.2333,83.37,61,1,16.49,AU
361,Jinchang,38.4953,102.1739,42.28,24,100,6.4,CN
362,Avera,33.194,-82.5271,68.05,64,0,7.23,US
363,Tanabe,33.7333,135.3667,69.01,83,75,9.22,JP
364,Ukiah,39.1502,-123.2078,49.89,80,100,5.75,US
365,Wake Forest,35.9799,-78.5097,70.32,65,0,5.75,US
366,Upata,8.0086,-62.3989,73.87,71,86,5.48,VE
367,Chekhov,55.1431,37.4711,46.35,85,100,13.33,RU
368,Ko Samui,9.5357,99.9357,82.31,83,20,0.0,TH
369,Luanda,-8.8368,13.2343,77.0,88,75,8.05,AO
370,Berbera,10.4396,45.0143,80.47,82,91,2.91,SO
371,Ilhabela,-23.7781,-45.3581,75.0,86,44,5.91,BR
372,Salinopolis,-0.6136,-47.3561,78.03,85,100,5.03,BR
373,Vrangel,42.7297,133.0839,37.13,40,3,8.34,RU
374,Tolaga Bay,-38.3667,178.3,64.13,57,3,8.32,NZ
375,Chute-Aux-Outardes,49.1168,-68.399,28.38,93,100,12.66,CA
376,Los Llanos De Aridane,28.6585,-17.9182,60.55,82,0,10.36,ES
377,Sorland,67.667,12.6934,28.26,56,2,10.71,NO
378,Sao Paulo De Olivenca,-3.3783,-68.8725,72.5,99,100,2.04,BR
379,Zofingen,47.2878,7.9459,57.0,77,100,8.99,CH
380,Monrovia,6.3005,-10.7969,74.97,86,100,8.7,LR
